ID,year,goldQuill,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,stateLead,instAuthor1,instAuthor2,instAuthor3,instAuthor4,instAuthor5,instAuthor6,instAuthor7,instAuthor8,instAuthor9,instAuthor10,currentInstAuthor1,currentInstAuthor2,currentInstAuthor3,currentInstAuthor4,currentInstAuthor5,currentInstAuthor6,currentInstAuthor7,currentInstAuthor8,currentInstAuthor9,currentInstAuthor10,Title,Topic,pp
50,2018,0,Bastian,Ritten,Derner,,,,,,,,WY,Wyoming,Wyoming,private sector,,,,,,,,Wyoming,Wyoming,private sector,,,,,,,,Ranch Profitability Given Increased Precipitation Variability and Flexible Shocking,,
51,2018,0,Brooks,Walters,Parsons,Ramirez,Tassell,Lubben,Aiken,,,,NE,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,,,,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,,,,,Characteristics Contributing to Nebraska Farm and Ranch Financial Stress,,
52,2018,0,Davis,Mark,Shepherd,,,,,,,,KY,Kentucky,Kentucky,Kentucky,,,,,,,,Kentucky,Kentucky,Kentucky,,,,,,,,Simulating the Value of Crop Insurance and Pre-Harvest Marketing,,
53,2018,0,Wright,Griffin,Guha,Bouldin,,,,,,,AR,Arkansas State,Kansas State,Arkansas State,Arkansas State,,,,,,,private sector,Kansas State,Arkansas State,Arkansas State,,,,,,,Economic Investigation of Crop Selection in the Southern Mississippi River Basin,,
54,2018,0,LM Elliott,Saleh,MS Elliott,,,,,,,,SD,South Dakota State,South Dakota State,South Dakota State,,,,,,,,South Dakota State,South Dakota State,South Dakota State,,,,,,,,Can Camelina and Carinata Be Profitable in South Dakota?,,
55,2018,0,Cai,Cosgrove,Paul,,,,,,,,CA ,Cal Poly,Cal Poly,private sector,,,,,,,,Cal Poly,Cal Poly,private sector,,,,,,,,Assessing the Investment Prospect of Farmland: Evidence from California,,
56,2017,0,Miller,Boumtje,Johnson,,,,,,,,AR,Southern Arkansas,Southern Arkansas,private sector,,,,,,,,Southern Arkansas,Southern Arkansas,private sector,,,,,,,,Investment Analysis for Commercial Greenhouse Hydroponically Produced Lettuce and Tomato,,
57,2017,0,Parvez,Chowdhury,Smart,Stover,Janssen,,,,,,ND,North Dakota State,North Dakota State,South Dakota State,South Dakota State,South Dakota State,,,,,,North Dakota State,North Dakota State,South Dakota State,South Dakota State,South Dakota State,,,,,,Conservation Attitudes and Satisfaction on Agro-Environmental Conditions of South Dakota: A study of Landowners' Perceptions,,
58,2017,0,Govindasamy,Kelley,Simon,,,,,,,,NJ,Rutgers,Penn State,Rutgers,,,,,,,,Rutgers,Penn State,Rutgers,,,,,,,,Ethnic Greens and Herbs,,
59,2017,0,Flanders,,,,,,,,,,AR,Arkansas,,,,,,,,,,Arkansas,,,,,,,,,,Equilibrium Analysis of Stocks-to-Use and Price for Long-Grain Rice,,
60,2017,0,Bacon,Cunningham,Franken,,,,,,,,IL,Western Illinois,Colorado State,Western Illinois,,,,,,,,Western Illinois,Colorado State,Western Illinois,,,,,,,,Valuing Herd Bull Characteristics: Evidence from Illinois Auction Data,,
61,2017,0,Davis,Shepherd,Mark ,,,,,,,,KY,Kentucky,Kentucky,Kentucky,,,,,,,,Kentucky,Kentucky,Kentucky,,,,,,,,Managing Costs and Liquidity During Low Commodity Prices,,
62,2017,0,O'Brien,Yeager,,,,,,,,,KS,Kansas State,Kansas State,,,,,,,,,Kansas State,Kansas State,,,,,,,,,Reductions in Working Capital and Resulting Burn Rates for Producers,,
63,2017,0,Pena-Levano,Escalante,Felix,,,,,,,,IN,Purdue,Georgia,private sector,,,,,,,,Purdue,Georgia,private sector,,,,,,,,FARM-STPACK: A Financial Analysis Tool for Small-farm Peruvian Farmers,,
64,2017,0,Wendong Zhang,Duffy,,,,,,,,,IA,Iowa State,Iowa State,,,,,,,,,Iowa State,Iowa State,,,,,,,,,Land Quality Perceptions in Expert Opinion Surveys: Evidence from Iowa,,
65,2017,0,Lopez-Mathamba,Pena-Levano,Thome-Ortiz,Escalante,,,,,,,Mexico,UAEM,UAEM,Purdue,Georgia,,,,,,,UAEM,UAEM,Purdue,Georgia,,,,,,,Matlatzinca Interpretive Path and Food Landscape (MIP) Social Touristic Project,,
66,2016,0,Smith,Dhuyvetter,,,,,,,,,KS,Fort Hays,private sector,,,,,,,,,,,,,,,,,,,Determining the Economically Optimal Level of Control on Sprayers and Planters,,
67,2016,0,Edwards,,,,,,,,,,IA,Iowa State,,,,,,,,,,,,,,,,,,,,Have Farm Custom Rates Kept Pace with Machinery Costs?,,
68,2016,0,Qushim,Gillespie,McMillin,,,,,,,,LA,Louisiana State,Louisiana State,Louisiana State,,,,,,,,,,,,,,,,,,Analyzing the Costs and Returns of US Meat Goat Farms,,
69,2016,0,Ruff,Peck,Bastian,Cook,,,,,,,KS,Kansas State,Wyoming,Wyoming,Texas A&M,,,,,,,,,,,,,,,,,Economics of Transitioning from a Cow-Calf-Yearling Operation to a Stocker Operation,,
70,2016,0,Guerrero,Amosson,Almas,Marek,Porter,,,,,,TX,West Texas A&M,Texas A&M,Texas A&M,Texas A&M,Texas A&M,,,,,,,,,,,,,,,,Economic Feasibility of Converting Center Pivot Irrigation to Subsurface Drip Irrigation,,
71,2016,0,Williams,Brammer,Llewelyn,Bergtold,,,,,,,KS,Kansas State,Kansas State,Kansas State,Kansas State,,,,,,,retired,,Kansas State,Kansas State,,,,,,,An Economic Analysis of Harvesting Biomass from Sorghums and Corn,,
72,2016,0,Shockley,Osborne,Dillon,Pierce,,,,,,,KY,Kentucky,Kentucky,Kentucky,Kentucky,,,,,,,,,,,,,,,,,A Two-Tiered Benchmarking Analysis for Cost Management,,
73,2016,0,Osti,Gillespie,Nyaupane,McMillin,,,,,,,LA,Louisiana State,Louisiana State,private sector,Louisiana State,,,,,,,,,,,,,,,,,"Meat Goat Production in the United States: Adoption of Technologies, Management Practices, and Production Systems",,
74,2016,0,Ireland-Otto,Ciampitti,Blanks,Burton,Balthazor,,,,,,KS,Kansas State,Kansas State,Kansas State,Kansas State,Kansas State,,,,,,,,,,,,,,,,Costs of Using Unmanned Aircraft on Crop Farms,,
75,2016,0,Ward,Roe,Batte,,,,,,,,OH,Ohio State,Ohio State,Kentucky,,,,,,,,,,,,,,,,,,Potential Profitability of Strip Intercropping with Corn and Soybeans,,
76,2016,0,Paulson,Schnitkey,Coppess,Zulauf,,,,,,,IL,Illinois,Illinois,Illinois,Ohio State,,,,,,,,,,,,,,,,,An Overview of the Decisions and Changes Made in the 2014 Farm Bill,,
77,2016,0,Ibendahl,,,,,,,,,,KS,Kansas State,,,,,,,,,,,,,,,,,,,,Using Solvency Ratios to Predict Future Profitability,,
78,2016,0,Ringelberg,Gunderson,Widmar,,,,,,,,IN,Purdue,Purdue,Purdue,,,,,,,,,,,,,,,,,,Strategies and Time Allocation of Large Commerical Agricultural Producers,,
79,2015,0,Salassi,Deliberto,Falconer,,,,,,,,LA,Louisiana State,Louisiana State,Mississippi State,,,,,,,,,,,,,,,,,,Comparative Costs of Onboard Module Building Cotton Harvest Systems in the Mid-South,,
80,2015,0,Barnard,Yeager,,,,,,,,,IN,Purdue,Kansas State,,,,,,,,,,,,,,,,,,,"Access to Agricultural Banks in Rural Counties in the Face of Changing Demographics, Evolving Social Preferences, and Increasing Bank Regulations",,
81,2015,0,Batte,Forster,,,,,,,,,KY,Kentucky,Ohio State,,,,,,,,,,,,,,,,,,,Old is New Again: The Economics of Agricultural Gypsum Use,,
82,2015,0,Taylor,Schurle,Rundel,Wilson,,,,,,,KS ,Kansas State,Kansas State,Kansas State,private sector,,,,,,,,,,,,,,,,,Determining Land Values Using Ordinary Least Squares Regression,,
83,2015,0,Hauger,"Burton, Jr.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,What to Do with a Gift of Farmland,,
84,2015,0,Griffin,Ibendahl,Mark,,,,,,,,KS,Kansas State,Kansas State,Kentucky,,,,,,,,,,,,,,,,,,How Spatially Clustered are State-level Farmland Values,,
85,2015,0,Ibendahl,,,,,,,,,,KS,Kansas State,,,,,,,,,,,,,,,,,,,,The Effects of Machinery Costs on Net Farm Income,,
86,2015,0,Paulson,Kuethe,,,,,,,,,IL,Illinois,Illinois,,,,,,,,,,,,,,,,,,,Trends in Farm Size and Potential Demand for Farm Management Association Services,,
87,2015,0,Lacy,Pruitt,Hancock,,,,,,,,MS,Mississippi State,Louisiana State,Georgia,,,,,,,,,,,,,,,,,,Economic Returns and Risk Analysis of Forage Wrapping Technologies,,
88,2015,0,Lee,Ritten,Bastian,Kniss,,,,,,,WY,Wyoming,Wyoming,Wyoming,Wyoming,,,,,,,,,,,,,,,,,Profitability of Glyphosate-Resistant Sugarbeet Production in Whole Farm Systems,,
89,2015,0,Swanepoel,Hadrich,Goemans,,,,,,,,CO,Colorado State,Colorado State,Colorado State,,,,,,,,,,,,,,,,,,"Estimating the Contribution of Groundwater Irrigation to Farmland Values in Phillips County, Colorado",,
90,2014,0,Dalsted,Peterson,,,,,,,,,CO,Colorado State,private sector,,,,,,,,,,,,,,,,,,,Estate Planning- Purposes and Techniques,,
91,2014,0,Flanders,Coats,Dunn,,,,,,,,AR,Arkansas,Arkansas,Arkansas,,,,,,,,,,,,,,,,,,Change in Arkansas Cotton Acreage during 2002-2010,,
92,2014,0,Boyer,Griffith,Roberts,Hubert,Savoy,Leib,,,,,TN,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,,,,,,,,,,,,,,,,Managing Nitrate Levels in Bermudagrass Hay: Implications for Net Returns,,
93,2014,0,Yeager,Barnard,,,,,,,,,IN,Purdue,Purdue,,,,,,,,,Kansas State,Purdue,,,,,,,,,Effectiveness of Increasing Liquidity as a Resource to Increased Repayment Risk: A Case Study,,
94,2014,0,Barnard,Yeager,,,,,,,,,IN,Purdue,Purdue,,,,,,,,,Kansas State,Purdue,,,,,,,,,"Impacts of Lower, More Volatile Net Farm Incomes, and Higher Interest Rates on Repayment Risk",,
95,2014,0,Pruitt,Detre,Darby,,,,,,,,LA,Louisiana State,Louisiana State,Louisiana State,,,,,,,,,,,,,,,,,,An Uncertain Market: A Case Study of a Cow-Calf Operation,,
96,2014,0,Funk,Bergtold,,,,,,,,,MO,private sector,Kansas State,,,,,,,,,,Kansas State,,,,,,,,,Cost Efficiency Changes and Adoption of Biotechnology Enhanced Soybeans in Kansas,,
97,2014,0,Smith,Popp,Philipp,Coffey,Gbur,Montgomery,,,,,TN,Tennessee,Arkansas,Arkansas,Arkansas,Arkansas,private sector,,,,,,,,,,,,,,,Overseeding Bermudagrass Pastures with Ryegrass and Clovers: Estimating Partial Returns,,
98,2014,0,Keeton,Popp,Smith,,,,,,,,AR,Arkansas,Arkansas,Tennessee,,,,,,,,,,,,,,,,,,Economic and Enviornmental Repercussions of Changing Bull Genetics,,
99,2014,0,Vitale,Epplin,Giles,Elliott,Burgener,Keenan,,,,,OK,Oklahoma State,Oklahoma State,Oklahoma State,private sector,private sector,private sector,,,,,,,,,,,,,,,Crop Diversity on Traditional Great Plains Wheat Farms,,
100,2014,0,Burdine,Halich,,,,,,,,,KY,Kentucky,Kentucky,,,,,,,,,,,,,,,,,,,Payout Analysis of Livestock Risk Protection Insurance for Feeder Cattle,,
101,2014,0,Becot,Conner,Kolodinsky,Mendez,,,,,,,VE,Vermont,Vermont,Vermont,Vermont,,,,,,,,,,,,,,,,,Measuring the Costs of Production and Pricing on Diversified Farms: Juggling Decisions Amidst Uncertainties,,
102,2014,0,Wilson,Schurle,Taylor,Featherstone,Ibendahl,,,,,,KS,Kansas State,Kansas State,Kansas State,Kansas State,Kansas State,,,,,,,,,,,,,,,,Regression Estimates of Different Land Type Prices and Time Adjustments,,
103,2014,0,Langemeier,Ibendahl,,,,,,,,,IN,Purdue,Kansas State,,,,,,,,,,,,,,,,,,,Crop Machinery Benchmarks,,
104,2014,0,Falconer,Walker,Richardson,,,,,,,,MS,Mississippi State,private sector,Texas A&M,,,,,,,,,,,,,,,,,,Economic Evaluation of Fertilizer Reduction Incentive Programs for Rice Farmers,,
105,2014,0,Langemeier,Yeager,O'Brien,,,,,,,,IN,Purdue,Purdue,Kansas State,,,,,,,,,,,,,,,,,,Cost Efficiency and Feed Grain Production in Kansas,,
106,2014,0,Ibendahl,Langemeier,,,,,,,,,KS,Kansas State,Purdue,,,,,,,,,,,,,,,,,,,Characteristics That Help a Farm Achieve Long-Term Viability,,
107,2014,0,Flanders,,,,,,,,,,AR,Arkansas,,,,,,,,,,,,,,,,,,,,Stocks-to-Use Response for Acreage Allocation of Arkansas Field Crops,,
108,2014,0,Swanepoel,Hadrich,Goemans,,,,,,,,CO,Colorado State,Colorado State,Colorado State,,,,,,,,,,,,,,,,,,"Estimating the Contribution of Groundwater Irrigation to Farmland Values in Phillips County, Colorado",,
109,2013,0,DeVuyst,,,,,,,,,,OK,Oklahoma State,,,,,,,,,,,,,,,,,,,,Construction and Operating Costs for Whitetail Deer Farms,,
110,2013,0,Doye,Sahs,Peel,DeVuyst,,,,,,,OK,Oklahoma State,Oklahoma State,Oklahoma State,Oklahoma State,,,,,,,,,,,,,,,,,Financing Herd Rebuilding After the 2011 Drought,,
111,2013,0,Barnard,Yeager,,,,,,,,,IN,Purdue,Purdue,,,,,,,,,,KSU,,,,,,,,,The Perfect Storm: A Case Study Illustrating How a Series of Events Led One Farm Operator to Develop a Risk Management Plan that Includes a Lender’s Perspective,,
112,2013,0,Stephens,Schurle,,,,,,,,,KS,private sector,Kansas State,,,,,,,,,,,,,,,,,,,"Impact of Rainfall, Sales Method, and Time on Land Prices",,
113,2013,0,Schurle,Featherstone,Wilson,Crosson,,,,,,,KS,Kansas State,Kansas State,Kansas State,Kansas State,,,,,,,,,,,,,,,,,Land Prices During Periods of Rapid Change,,
114,2013,0,Barnard,Yeager,Miller,,,,,,,,IN,Purdue,Purdue,Purdue,,,,,,,,,KSU,,,,,,,,,Repayment Capacity Sensitivity Analysis Using Purdue Farm Financial Analysis Spreadsheet,,
115,2013,0,Barnard,Yeager,Miller,,,,,,,,IN,Purdue,Purdue,Purdue,,,,,,,,,KSU,,,,,,,,,New Features Added to the Purdue Farm Financial Analysis Spreadsheet,,
116,2013,0,Elliott,Parcell,Patterson,Smith,Poock,,,,,,SD,South Dakota State,Missouri,Missouri,Missouri,Missouri,,,,,,,,,,,,,,,,Factors Influencing Beef Reproductive Technology Adoption,,
117,2013,0,Kuethe,Walsh,Ifft,,,,,,,,DC,USDA,USDA,USDA,,,,,,,,,,,,,,,,,,Farmland versus Alternative Investments Before and After the 2008 Financial Crisis,,
118,2013,0,Fewell,Lyons,Williams,Bergtold,,,,,,,TN,Tennessee,Kansas State,Kansas State,Kansas State,,,,,,,Lake Region State College,,,,,,,,,,Kansas Farmers Interest and Preferences for Growing Cellulosic Bioenergy Crops,,
119,2013,0,Edwards,Hart,,,,,,,,,IA,Iowa State,Iowa State,,,,,,,,,,,,,,,,,,,Sharing Financial Risk through Flexible Farm Lease Agreements,,
120,2013,0,Parvez,Faush,Nleya,Johnson,Olsen,Rickertsen,,,,,SD,South Dakota State,South Dakota State,South Dakota State,South Dakota State,South Dakota State,North Dakota State,,,,,,,,,,,,,,,Forage Options and Drought Risk: A South Dakota Case Study,,
121,2013,0,Smith,Dhuyvetter,Kastens,Kastens,Smith,,,,,,KS,Fort Hays,Kansas State,Kansas State,private sector,private sector,,,,,,,private sector,,,,,,,,,Economics of Precision Agricultural Technologies Across the Great Plains,,
122,2013,0,Deliberto,Salassi,Guidry,,,,,,,,LA,Louisiana State,Louisiana State,Louisiana State,,,,,,,,,,,,,,,,,,Simulating Returns to Alternative Crop Mixes in Northeastern Louisiana,,
123,2013,0,Langemeier,,,,,,,,,,IN,Purdue,,,,,,,,,,,,,,,,,,,,Measuring Economies of Size with Expense Ratios,,
124,2013,0,Ibendahl,Griffin,,,,,,,,,KS,Kansas State,Arkansas,,,,,,,,,,,,,,,,,,,The Connection Between Cash Rents and Land Values,,
125,2013,0,Amadou,Roper,Biermacher,Cook,Ward,,,,,,OK,Oklahoma State,Oklahoma State,private sector,private sector,Oklahoma State,,,,,,,,,,,,,,,,Alternative Retention and Marketing Strategies for Cull Beef Cows,,
126,2013,0,Paulson,,,,,,,,,,IL,Illinois,,,,,,,,,,,,,,,,,,,,The Impact of Revenues and Costs on the Relative Returns of Illinois Grain Farms,,
127,2012,0,Shockley,Dillon,Stombaugh,,,,,,,,KY,Kentucky,Kentucky,Kentucky,,,,,,,,,,,,,,,,,,The Influence of Auto-Steer on Machinery Selection and Land Acquisition,,
128,2012,0,Ibendahl,,,,,,,,,,MS,Mississippi State,,,,,,,,,,KSU,,,,,,,,,,Seasonality of Diesel Fuel Prices,,
129,2012,0,Thompson,Johnson,,,,,,,,,NE,Nebraska,Nebraska,,,,,,,,,,,,,,,,,,,The Value of Water In Agriculture Land Markets: The Nebraska Case,,
130,2012,0,Funk,Armijo,Hawkes,Libbin,,,,,,,NM,USDA ARS,USDA ARS,New Mexico State,New Mexico State,,,,,,,,,,,,,,,,,Cotton Thermal Defoliation Economics,,
131,2012,0,Foulke,Geiger,Hess,,,,,,,,WY,Wyoming,Wyoming,Wyoming,,,,,,,,,,,,,,,,,,An Analysis of On-Farm Feed and Fuel from Dryland Camelina,,
132,2012,0,Blank,Erickson,Hallahan,,,,,,,,VA,Virginia Tech,USDA,USDA,,,,,,,,,,,,,,,,,,Rising Farmland Values: An Indicator of Regional Economic Performance or a Speculative Bubble?,,
133,2012,0,Sanders,Altman,Apgar,,,,,,,,IL,Southern Illinois,Southern Illinois,Southern Illinois,,,,,,,,,,,,,,,,,,Determinants of Profitability in Niche Swine Production,,
134,2012,0,Hadrich,,,,,,,,,,ND,North Dakota State,,,,,,,,,,,,,,,,,,,,Managing the Economics of Soil Salinity in the Red River Valley of North Dakota,,
135,2012,0,Navarro,Shoaf,Snyder,Dobbins,Ohm,,,,,,WY,Wyoming,Purdue,Purdue,Purdue,Purdue,,,,,,,,,,,,,,,,Economic Analysis of Biomass Production Utilizing Winter Wheat Double-Cropping,,
136,2012,0,McGaffin,McLeod,Bastian,Hoag,Hoag,,,,,,WY,private sector,Wyoming,Wyoming,Colorado State,Colorado State,,,,,,,,,,,,,,,,Landowner Preferences for Conservation Easements: Responses from Two Intermountain States,,
137,2012,0,Varner,Epplin,Doye,Schatzer,Edwards,,,,,,OK,Oklahoma State,Oklahoma State,Oklahoma State,Oklahoma State,Oklahoma State,,,,,,,,,,,,,,,,Pasture Rental Rates for Fall-Winter Grazing of Winter Wheat,,
138,2012,0,Eisele,Ritten,Bastian,Paisley,Lake,,,,,,WY,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,,,,,,,,,,,,,,,,Economic Comparison of Weaning and Feeding Strategies for Beef Production,,
139,2012,0,Schurle,Wilson,Featherstone,Remaury,Harmon,,,,,,KS,Kansas State,Kansas State,Kansas State,Kansas State,Kansas State,,,,,,,,,,,,,,,,"Asset Bubbles, Inflation, and Agricultural Land Values",,
140,2012,0,Mark,Detre,D'Antoni,Mishra,,,,,,,KY,Kentucky,Louisiana State,Louisiana State,Louisiana State,,,,,,,,,,,,,,,,,Factors Influencing Farm Operator Expectations on Future Levels of Government Support,,
141,2012,0,Paulson,,,,,,,,,,IL,Illinois,,,,,,,,,,,,,,,,,,,,Revisiting Flexible Cash Leases,,
142,2012,0,Brewer,Wilson,Featherstone,Harris,Erickson,Hallahan,,,,,KS,Kansas State,Kansas State,Kansas State,USDA,USDA,USDA,,,,,,,,,,,,,,,Measuring the Financial Health of U.S. Production Agriculture,,
